Time,leaps,gnssId,SatelliteID,C1I,L1I,D1I,C1Istd,L1Istd,D1Istd,C1Ivalid,L1Ivalid,L1ILocktime,L1IHalfCycleValid,L1IHalfCycleSubtrated,C1Isnr,C7I,L7I,D7I,C7Istd,L7Istd,D7Istd,C7Ivalid,L7Ivalid,L7ILocktime,L7IHalfCycleValid,L7IHalfCycleSubtrated,C7Isnr
2024-07-10 07:31:30.002,18,3,28,23578952.809573747,122781795.5364332,-2910.550537109375,3.0,1.0,6.0,1.0,1.0,40000.0,1.0,1.0,45.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,36,24980566.677818626,130080376.70853435,-584.3408203125,7.0,6.0,8.0,1.0,1.0,4560.0,1.0,0.0,32.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,41,25358701.367576614,132049415.62498607,1862.451904296875,4.0,2.0,7.0,1.0,1.0,40000.0,1.0,1.0,39.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,58,35051602.18116705,182522883.88254264,-2042.2037353515625,3.0,1.0,5.0,1.0,1.0,40000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,27,22168110.37846065,115435167.41790965,-567.459716796875,5.0,3.0,8.0,1.0,1.0,40000.0,1.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,33,24888487.68679721,129600880.24073276,-637.828369140625,5.0,3.0,7.0,1.0,1.0,7500.0,1.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,8,39362778.66746052,204972311.82863873,-1989.9110107421875,5.0,3.0,8.0,1.0,1.0,8000.0,1.0,1.0,37.0,,,,,,,,,,,,
2024-07-10 07:31:30.002,18,3,13,38612425.67503081,201065037.46217388,-1695.559814453125,3.0,1.0,6.0,1.0,1.0,27000.0,1.0,1.0,43.0,38612421.77960447,155476218.63358366,-1311.065673828125,4.0,3.0,7.0,1.0,1.0,9000.0,1.0,0.0,38.0
2024-07-10 07:31:31.002,18,3,28,23579511.884116948,122784706.61403036,-2912.002685546875,3.0,1.0,6.0,1.0,1.0,41000.0,1.0,1.0,44.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,36,24980677.88393803,130080961.82956128,-586.214599609375,7.0,5.0,8.0,1.0,1.0,5560.0,1.0,0.0,33.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,41,25358343.531317618,132047553.57797208,1861.1695556640625,4.0,2.0,7.0,1.0,1.0,41000.0,1.0,1.0,39.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,58,35051994.497869685,182524926.79072618,-2043.87451171875,3.0,1.0,4.0,1.0,1.0,41000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,27,22168219.505700715,115435735.43223147,-568.98193359375,4.0,2.0,7.0,1.0,1.0,41000.0,1.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,33,24888610.324833456,129601518.73818623,-639.207763671875,5.0,3.0,8.0,1.0,1.0,8500.0,1.0,0.0,37.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,8,39363161.146637805,204974302.64297503,-1991.89453125,4.0,3.0,7.0,1.0,1.0,9000.0,1.0,1.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:31.002,18,3,13,38612751.53997808,201066733.52324733,-1696.9345703125,3.0,1.0,6.0,1.0,1.0,28000.0,1.0,1.0,44.0,38612747.541874655,155477530.1470507,-1312.3006591796875,4.0,2.0,7.0,1.0,1.0,10000.0,1.0,0.0,38.0
2024-07-10 07:31:32.002,18,3,28,23580071.270321034,122787619.54920046,-2913.81640625,3.0,1.0,6.0,1.0,1.0,42000.0,1.0,1.0,44.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,36,24980791.021796536,130081549.12253828,-588.155517578125,7.0,5.0,8.0,1.0,1.0,6560.0,1.0,0.0,32.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,41,25357986.11414305,132045693.51141131,1858.89111328125,4.0,2.0,7.0,1.0,1.0,42000.0,1.0,1.0,39.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,58,35052387.24063684,182526971.62607825,-2045.7886962890625,3.0,1.0,4.0,1.0,1.0,42000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,27,22168328.83117525,115436305.36655349,-570.732421875,4.0,2.0,7.0,1.0,1.0,42000.0,1.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,33,24888733.327649057,129602159.48550642,-641.644287109375,4.0,3.0,8.0,1.0,1.0,9500.0,1.0,0.0,37.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,8,39363544.02563448,204976295.1364979,-1993.4754638671875,4.0,3.0,7.0,1.0,1.0,10000.0,1.0,1.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:32.002,18,3,13,38613077.66074554,201068431.3123075,-1698.7764892578125,3.0,1.0,6.0,1.0,1.0,29000.0,1.0,1.0,44.0,38613073.636466786,155478842.9595928,-1313.397705078125,4.0,2.0,7.0,1.0,1.0,11000.0,1.0,0.0,38.0
2024-07-10 07:31:33.002,18,3,28,23580631.096689414,122790534.15467784,-2915.589111328125,3.0,1.0,6.0,1.0,1.0,43000.0,1.0,1.0,44.0,,,,,,,,,,,,
2024-07-10 07:31:33.002,18,3,36,24980904.347419385,130082138.43125603,-590.391845703125,6.0,5.0,8.0,1.0,1.0,7560.0,1.0,0.0,32.0,,,,,,,,,,,,
2024-07-10 07:31:33.002,18,3,41,25357629.056861777,132043835.15265712,1857.5345458984375,4.0,2.0,7.0,1.0,1.0,43000.0,1.0,1.0,39.0,,,,,,,,,,,,
2024-07-10 07:31:33.002,18,3,58,35052780.38727183,182529018.18273917,-2047.52587890625,3.0,1.0,5.0,1.0,1.0,43000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:33.002,18,3,27,22168438.529944845,115436877.09793472,-572.589111328125,4.0,2.0,7.0,1.0,1.0,43000.0,1.0,0.0,38.0,,,,,,,,,,,,
