Time,leaps,gnssId,SatelliteID,C1C,L1C,D1C,C1Cstd,L1Cstd,D1Cstd,C1Cvalid,L1Cvalid,L1CLocktime,L1CHalfCycleValid,L1CHalfCycleSubtrated,C1Csnr,C2X,L2X,D2X,C2Xstd,L2Xstd,D2Xstd,C2Xvalid,L2Xvalid,L2XLocktime,L2XHalfCycleValid,L2XHalfCycleSubtrated,C2Xsnr
2024-07-10 07:31:25.002,18,0,26,23441697.950507008,123186954.1618838,-4226.607421875,8.0,7.0,10.0,1.0,1.0,60.0,0.0,0.0,36.0,,,,,,,,,,,,
2024-07-10 07:31:25.002,18,0,1,23607205.430410694,124056699.8401277,-4570.5361328125,6.0,7.0,9.0,1.0,1.0,6920.0,1.0,1.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:25.002,18,0,10,22919695.79474749,120443813.52226445,1922.3768310546875,4.0,2.0,7.0,1.0,1.0,19520.0,1.0,1.0,47.0,22919697.89765899,93852331.3988731,1497.9365234375,9.0,15.0,11.0,1.0,0.0,0.0,0.0,0.0,25.0
2024-07-10 07:31:25.002,18,0,7,25678100.36734624,134939346.27926424,-475.8837585449219,6.0,4.0,8.0,1.0,1.0,6820.0,0.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:25.002,18,0,18,22911642.965357997,120401498.35153641,-3537.17578125,3.0,2.0,7.0,1.0,1.0,18140.0,1.0,1.0,45.0,22911639.489714086,93819323.14168759,-2756.304931640625,4.0,2.0,7.0,1.0,1.0,35000.0,1.0,1.0,43.0
2024-07-10 07:31:25.002,18,0,8,23475976.151566673,123367087.1758097,2156.63525390625,7.0,6.0,9.0,1.0,1.0,920.0,0.0,0.0,34.0,23475975.11853444,96130193.54129846,1673.896728515625,9.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,22.0
2024-07-10 07:31:26.002,18,0,15,24465412.416352354,128566611.62984554,-364.48974609375,7.0,10.0,9.0,1.0,1.0,1920.0,0.0,0.0,38.0,24465417.920799896,100181795.6871248,-283.6294250488281,9.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,23.0
2024-07-10 07:31:26.002,18,0,16,21578104.243795656,113393703.43453422,-2295.0439453125,5.0,3.0,8.0,1.0,1.0,36000.0,1.0,1.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:26.002,18,0,23,21690443.841813322,113984050.81019254,-73.962890625,3.0,2.0,7.0,1.0,1.0,36000.0,1.0,1.0,46.0,21690440.985023934,88818728.36247082,-57.92919921875,4.0,3.0,7.0,1.0,1.0,31460.0,1.0,0.0,40.0
2024-07-10 07:31:26.002,18,0,27,21222199.36058992,111523408.10045645,634.870361328125,5.0,4.0,8.0,1.0,1.0,36000.0,1.0,1.0,39.0,21222196.95227113,86901348.62402388,493.372802734375,8.0,10.0,9.0,1.0,1.0,1200.0,1.0,0.0,26.0
